observation_date,GASDESW
2015-11-02,2.485
2015-11-09,2.502
2015-11-16,2.482
2015-11-23,2.445
2015-11-30,2.421
2015-12-07,2.379
2015-12-14,2.338
2015-12-21,2.284
2015-12-28,2.237
2016-01-04,2.211
2016-01-11,2.177
2016-01-18,2.112
2016-01-25,2.071
2016-02-01,2.031
2016-02-08,2.008
2016-02-15,1.980
2016-02-22,1.983
2016-02-29,1.989
2016-03-07,2.021
2016-03-14,2.099
2016-03-21,2.119
2016-03-28,2.121
2016-04-04,2.115
2016-04-11,2.128
2016-04-18,2.165
2016-04-25,2.198
2016-05-02,2.266
2016-05-09,2.271
2016-05-16,2.297
2016-05-23,2.357
2016-05-30,2.382
2016-06-06,2.407
2016-06-13,2.431
2016-06-20,2.426
2016-06-27,2.426
2016-07-04,2.423
2016-07-11,2.414
2016-07-18,2.402
2016-07-25,2.379
2016-08-01,2.348
2016-08-08,2.316
2016-08-15,2.310
2016-08-22,2.370
2016-08-29,2.409
2016-09-05,2.407
2016-09-12,2.399
2016-09-19,2.389
2016-09-26,2.382
2016-10-03,2.389
2016-10-10,2.445
2016-10-17,2.481
2016-10-24,2.478
2016-10-31,2.479
2016-11-07,2.470
2016-11-14,2.443
2016-11-21,2.421
2016-11-28,2.420
2016-12-05,2.480
2016-12-12,2.493
2016-12-19,2.527
2016-12-26,2.540
2017-01-02,2.586
2017-01-09,2.597
2017-01-16,2.585
2017-01-23,2.569
2017-01-30,2.562
2017-02-06,2.558
2017-02-13,2.565
2017-02-20,2.572
2017-02-27,2.577
2017-03-06,2.579
2017-03-13,2.564
2017-03-20,2.539
2017-03-27,2.532
2017-04-03,2.556
2017-04-10,2.582
2017-04-17,2.597
2017-04-24,2.595
2017-05-01,2.583
2017-05-08,2.565
2017-05-15,2.544
2017-05-22,2.539
2017-05-29,2.571
2017-06-05,2.564
2017-06-12,2.524
2017-06-19,2.489
2017-06-26,2.465
2017-07-03,2.472
2017-07-10,2.481
2017-07-17,2.491
2017-07-24,2.507
2017-07-31,2.531
2017-08-07,2.581
2017-08-14,2.598
2017-08-21,2.596
2017-08-28,2.605
2017-09-04,2.758
2017-09-11,2.802
2017-09-18,2.791
2017-09-25,2.788
2017-10-02,2.792
2017-10-09,2.776
2017-10-16,2.787
2017-10-23,2.797
2017-10-30,2.819
2017-11-06,2.882
2017-11-13,2.915
2017-11-20,2.912
2017-11-27,2.926
2017-12-04,2.922
2017-12-11,2.910
2017-12-18,2.901
2017-12-25,2.903
2018-01-01,2.973
2018-01-08,2.996
2018-01-15,3.028
2018-01-22,3.025
2018-01-29,3.070
2018-02-05,3.086
2018-02-12,3.063
2018-02-19,3.027
2018-02-26,3.007
2018-03-05,2.992
2018-03-12,2.976
2018-03-19,2.972
2018-03-26,3.010
2018-04-02,3.042
2018-04-09,3.043
2018-04-16,3.104
2018-04-23,3.133
2018-04-30,3.157
2018-05-07,3.171
2018-05-14,3.239
2018-05-21,3.277
2018-05-28,3.288
2018-06-04,3.285
2018-06-11,3.266
2018-06-18,3.244
2018-06-25,3.216
2018-07-02,3.236
2018-07-09,3.243
2018-07-16,3.239
2018-07-23,3.220
2018-07-30,3.226
2018-08-06,3.223
2018-08-13,3.217
2018-08-20,3.207
2018-08-27,3.226
2018-09-03,3.252
2018-09-10,3.258
2018-09-17,3.268
2018-09-24,3.271
2018-10-01,3.313
2018-10-08,3.385
2018-10-15,3.394
2018-10-22,3.380
2018-10-29,3.355
2018-11-05,3.338
2018-11-12,3.317
2018-11-19,3.282
2018-11-26,3.261
2018-12-03,3.207
2018-12-10,3.161
2018-12-17,3.121
2018-12-24,3.077
2018-12-31,3.048
2019-01-07,3.013
2019-01-14,2.976
2019-01-21,2.965
2019-01-28,2.965
2019-02-04,2.966
2019-02-11,2.966
2019-02-18,3.006
2019-02-25,3.048
2019-03-04,3.076
2019-03-11,3.079
2019-03-18,3.070
2019-03-25,3.080
2019-04-01,3.078
2019-04-08,3.093
2019-04-15,3.118
2019-04-22,3.147
2019-04-29,3.169
2019-05-06,3.171
2019-05-13,3.160
2019-05-20,3.163
2019-05-27,3.151
2019-06-03,3.136
2019-06-10,3.105
2019-06-17,3.070
2019-06-24,3.043
2019-07-01,3.042
2019-07-08,3.055
2019-07-15,3.051
2019-07-22,3.044
2019-07-29,3.034
2019-08-05,3.032
2019-08-12,3.011
2019-08-19,2.994
2019-08-26,2.983
2019-09-02,2.976
2019-09-09,2.971
2019-09-16,2.987
2019-09-23,3.081
2019-09-30,3.066
2019-10-07,3.047
2019-10-14,3.051
2019-10-21,3.050
2019-10-28,3.064
2019-11-04,3.062
2019-11-11,3.073
2019-11-18,3.074
2019-11-25,3.066
2019-12-02,3.070
2019-12-09,3.049
2019-12-16,3.046
2019-12-23,3.041
2019-12-30,3.069
2020-01-06,3.079
2020-01-13,3.064
2020-01-20,3.037
2020-01-27,3.010
2020-02-03,2.956
2020-02-10,2.910
2020-02-17,2.890
2020-02-24,2.882
2020-03-02,2.851
2020-03-09,2.814
2020-03-16,2.733
2020-03-23,2.659
2020-03-30,2.586
2020-04-06,2.548
2020-04-13,2.507
2020-04-20,2.480
2020-04-27,2.437
2020-05-04,2.399
2020-05-11,2.394
2020-05-18,2.386
2020-05-25,2.390
2020-06-01,2.386
2020-06-08,2.396
2020-06-15,2.403
2020-06-22,2.425
2020-06-29,2.430
2020-07-06,2.437
2020-07-13,2.438
2020-07-20,2.433
2020-07-27,2.427
2020-08-03,2.424
2020-08-10,2.428
2020-08-17,2.427
2020-08-24,2.426
2020-08-31,2.441
2020-09-07,2.435
2020-09-14,2.422
2020-09-21,2.404
2020-09-28,2.394
2020-10-05,2.387
2020-10-12,2.395
2020-10-19,2.388
2020-10-26,2.385
2020-11-02,2.372
2020-11-09,2.383
2020-11-16,2.441
2020-11-23,2.462
2020-11-30,2.502
2020-12-07,2.526
2020-12-14,2.559
2020-12-21,2.619
2020-12-28,2.635
2021-01-04,2.640
2021-01-11,2.670
2021-01-18,2.696
2021-01-25,2.716
2021-02-01,2.738
2021-02-08,2.801
2021-02-15,2.876
2021-02-22,2.973
2021-03-01,3.072
2021-03-08,3.143
2021-03-15,3.191
2021-03-22,3.194
2021-03-29,3.161
2021-04-05,3.144
2021-04-12,3.129
2021-04-19,3.124
2021-04-26,3.124
2021-05-03,3.142
2021-05-10,3.186
2021-05-17,3.249
2021-05-24,3.253
2021-05-31,3.255
2021-06-07,3.274
2021-06-14,3.286
2021-06-21,3.287
2021-06-28,3.300
2021-07-05,3.331
2021-07-12,3.338
2021-07-19,3.344
2021-07-26,3.342
2021-08-02,3.367
2021-08-09,3.364
2021-08-16,3.356
2021-08-23,3.324
2021-08-30,3.339
2021-09-06,3.373
2021-09-13,3.372
2021-09-20,3.385
2021-09-27,3.406
2021-10-04,3.477
2021-10-11,3.586
2021-10-18,3.671
2021-10-25,3.713
2021-11-01,3.727
2021-11-08,3.730
2021-11-15,3.734
2021-11-22,3.724
2021-11-29,3.720
2021-12-06,3.674
2021-12-13,3.649
2021-12-20,3.626
2021-12-27,3.615
2022-01-03,3.613
2022-01-10,3.657
2022-01-17,3.725
2022-01-24,3.780
2022-01-31,3.846
2022-02-07,3.951
2022-02-14,4.019
2022-02-21,4.055
2022-02-28,4.104
2022-03-07,4.849
2022-03-14,5.250
2022-03-21,5.134
2022-03-28,5.185
2022-04-04,5.144
2022-04-11,5.073
2022-04-18,5.101
2022-04-25,5.160
2022-05-02,5.509
2022-05-09,5.623
2022-05-16,5.613
2022-05-23,5.571
2022-05-30,5.539
2022-06-06,5.703
2022-06-13,5.718
2022-06-20,5.810
2022-06-27,5.783
2022-07-04,5.675
2022-07-11,5.568
2022-07-18,5.432
2022-07-25,5.268
2022-08-01,5.138
2022-08-08,4.993
2022-08-15,4.911
2022-08-22,4.909
2022-08-29,5.115
2022-09-05,5.084
2022-09-12,5.033
2022-09-19,4.964
2022-09-26,4.889
2022-10-03,4.836
2022-10-10,5.224
2022-10-17,5.339
2022-10-24,5.341
2022-10-31,5.317
2022-11-07,5.333
2022-11-14,5.313
2022-11-21,5.233
2022-11-28,5.141
2022-12-05,4.967
2022-12-12,4.754
2022-12-19,4.596
2022-12-26,4.537
2023-01-02,4.583
2023-01-09,4.549
2023-01-16,4.524
2023-01-23,4.604
2023-01-30,4.622
2023-02-06,4.539
2023-02-13,4.444
2023-02-20,4.376
2023-02-27,4.294
2023-03-06,4.282
2023-03-13,4.247
2023-03-20,4.185
2023-03-27,4.128
2023-04-03,4.105
2023-04-10,4.098
2023-04-17,4.116
2023-04-24,4.077
2023-05-01,4.018
2023-05-08,3.922
2023-05-15,3.897
2023-05-22,3.883
2023-05-29,3.855
2023-06-05,3.797
2023-06-12,3.794
2023-06-19,3.815
2023-06-26,3.801
2023-07-03,3.767
2023-07-10,3.806
2023-07-17,3.806
2023-07-24,3.905
2023-07-31,4.127
2023-08-07,4.239
2023-08-14,4.378
2023-08-21,4.389
2023-08-28,4.475
2023-09-04,4.492
2023-09-11,4.540
2023-09-18,4.633
2023-09-25,4.586
2023-10-02,4.593
2023-10-09,4.498
2023-10-16,4.444
2023-10-23,4.545
2023-10-30,4.454
2023-11-06,4.366
2023-11-13,4.294
2023-11-20,4.209
2023-11-27,4.146
